   x min    x avg    x max      eff    -err / +err 
  ------   ------   ------     -----  ------/------
  -2.400   -2.237   -2.100     98.69  - 0.07/+ 0.07
  -2.100   -1.840   -1.600     99.48  - 0.02/+ 0.02
  -1.600   -1.397   -1.200     99.67  - 0.02/+ 0.02
  -1.200   -1.043   -0.900     99.74  - 0.02/+ 0.02
  -0.900   -0.747   -0.600     99.80  - 0.01/+ 0.01
  -0.600   -0.449   -0.300     99.80  - 0.01/+ 0.01
  -0.300   -0.249   -0.200     99.72  - 0.02/+ 0.02
  -0.200    0.000    0.200     99.63  - 0.01/+ 0.01
   0.200    0.249    0.300     99.78  - 0.02/+ 0.02
   0.300    0.449    0.600     99.77  - 0.01/+ 0.01
   0.600    0.747    0.900     99.76  - 0.01/+ 0.01
   0.900    1.043    1.200     99.68  - 0.02/+ 0.02
   1.200    1.397    1.600     99.59  - 0.03/+ 0.03
   1.600    1.839    2.100     99.70  - 0.02/+ 0.02
   2.100    2.237    2.400     98.36  - 0.08/+ 0.08
